,Gender,Age,Pre_CanDoCoding,Pre_CodingImportance,Pre_CodingInterest,ITaccess,UseComputersOften,VisitLibraryBefore,DesireLibraryVisit,Post_CanDoCoding,Post_CodingInterest,Post_CodingImportance,WorkshopFeedback,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,HackMinecraft_rating,TerminalQuest_rating,VisitLibrary_Activities,VisitLibrary_Devices
96,female,12,yes,very,very,school,regularly,sometimes,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
97,female,10,yes,very,very,school,regularly,sometimes,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
98,female,9,no,very,very,school,regularly,regularly,very,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
99,female,16,no,very,very,school,regularly,regularly,very,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
100,female,8,yes,very,very,no,regularly,regularly,very,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
101,female,12,no,very,very,school,regularly,regularly,very,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
102,female,16,no,very,very,school,regularly,regularly,very,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
103,male,14,yes,very,very,school,regularly,regularly,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
104,male,16,yes,very,very,school,regularly,sometimes,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
105,male,16,no,unsure,somewhat,no,sometimes,sometimes,somewhat,yes,somewhat,somewhat,good,3,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,maybe
106,male,16,no,somewhat,somewhat,home,regularly,rarely,somewhat,yes,somewhat,somewhat,okay,3,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,maybe
107,male,15,dontknow,very,somewhat,home,regularly,sometimes,somewhat,yes,very,very,verygood,not_used,5,4,not_used,not_used,not_used,not_used,not_used,yes,yes
108,male,14,dontknow,unsure,very,home,regularly,sometimes,very,yes,somewhat,unsure,good,not_rated,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
109,male,14,dontknow,very,somewhat,home,regularly,sometimes,somewhat,yes,very,very,verygood,4,not_used,4,not_used,not_used,not_used,not_used,not_used,yes,yes
110,male,14,dontknow,very,very,home,regularly,sometimes,somewhat,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
111,male,16,yes,very,very,home,regularly,veryregularly,very,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
